origin,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Botswana,Lesotho,Namibia,South Africa,Swaziland,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom of Great Britain and Northern Ireland,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,The former Yugoslav Republic of Macedonia,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Marshall Islands,Micronesia (Federated States of),Nauru,Northern Mariana Islands,Palau,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands
Sri Lanka,,,,,,,,,   9,,,,,   316,,,,,,,,,,,,,,,,,   249,   710,,,,,   398,,,   963,,,,,,,   15,,,,,,,,,,,,,,,,,  3 026,   524,,   120,  1 206,,   60,   676,   22,,,  1 194,,   43,  5 788,  3 781,,   46,,,   15,  281 720,,  4 289,   78,   889,,,,  5 863,  2 457,,,,  11 062,  36 364,  5 054,  13 996,   932,  200 579,,,   18,  44 420,,,   2,   8,   47,   35,,,  1 020,,,,  5 014,,,   159,   83,   46,,   31,,  4 707,  4 599,  38 424,,,,,,  1 344,,  19 974,   9,,   3,,,,   45,,   540,   124,  33 041,  38 618,,,,  4 699,  18 837,,,,   24,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,   6,0,,   6,,,,,,,,,,,,  24 410,,,  14 022,  46 660,  2 298,,,   118,,,,,,,0,,,,,,,,,,,
State of Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  36 004,  53 328,  152 266,,,   589,,,,,   97,,,,,,,,,,,,   135,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,  1 531,   90,,  14 347,,  851 880,  9 497,  389 171,,  7 574,,,  244 707,   768,  11 602,  2 562,,   3,   19,   93,,,   7,  1 808,   6,  1 828,,   54,,,0,,   13,,0,,0,   799,,,,,0,,   389,,   55,   12,,,,   9,,,,   152,   13,   850,,,,,,   275,,,,,,,,,,,,   188,,,,,,,,,,,,,,,,,   75,   30,   116,   2,,   56,,0,,   390,,   33,,,,,,,,   425,,  5 397,,,  21 070,  2 753,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,   131,  53 857,   814,,,,,,,,,,0,  126 304,,,,,,  22 094,  9 529,,  15 895,,,,  9 127,  15 184,  38 599,,,,,,,   294,  2 619,,,,,,,   18,,,,,,   337,,,,,,,,,,,,,,,,,,,,,,,,   17,,0,,,,,,,,,,,,,,  4 235,   129,,  2 924,,  1 891,  29 503,   864,  4 910,  3 178,  178 769,,0,   63,  32 088,  18 648,,   12,   16,   72,   88,,,   588,,,,   74,,,0,,   113,,   1,,   68,   557,  1 489,,,,0,,  1 141,,   47,   8,,,,,   4,   36,,   350,   110,  1 132,,,,,  1 725,   426,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,   18,0,,   5,,,,,,,,,,,,  1 324,,,  4 423,  1 218,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   28,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,0,0,,,,,,,,,   20,,,0,0,   2,,,,   10,   16,   36,,,,,,   2,,   12,,,,,,,   11,,   11,   61,   267,,,,,  156 211,   67,,   9,   721,,0,  2 005,,,,,   7,   103,,   3,,,,,,,   18,,0,,,,,   13,,,,,,,   11,   1,   120,   8,,,,  15 289,  1 047,,,,,   106,,   513,,,  2 860,   68,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,   51,,,,,,,,,,,,,,,,,,,   108,   51,   290,  34 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   18,,,,   1,0,,,,,,,,,   37,,,   3,,   4,,,,,   12,   118,,,,,,   6,,   1,,,   48,,,,,,   13,,   8,,,,,   36,   44,,,,0,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,   2,,,,,,,,,,,,   101,,,,   117,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,   10,,,,,,,,   358,  1 021,,,,,   129,,   149,   116,,,,,,,,,,  1 120,,,,,,,,,,,,,,,,,,   586,,,,,,,,,   99,,   249,,,,,   11,,,   11,,,   29,,,,   227,,,  1 178,   82,,,,,,,,  1 291,,,   190,   15,   52,   262,   998,,   177,   340,   8,,,  15 641,   90,   56,  26 043,  1 012,   145,,   128,   478,  20 429,,  10 818,,   54,,   279,,  3 364,,  5 968,   28,,   216,,   146,   248,  5 755,,  1 956,  1 812,  10 606,  13 195,   22,   456,,  2 144,  6 101,,,,   11,,,,,,,,   369,,,,,,,,,,,,,,,,   97,   33,   27,   23,   324,   55,   27,   566,   200,   457,   731,   175,   117,,,,,   201,,,   231,,  7 489,   144,,  53 676,  5 694,   522,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,   66,,,,,,,,,,,,,,   150,,,,,,,,  1 775,  5 069,,,,,,,   634,  4 268,,,,   18,,,   104,,,   148,,,,,,,,,,,   81,,,,   487,,,   980,   4,,,,,,,,   250,,   370,,,,,   11,,,   102,,,   6,,,,   94,,,  2 662,   53,,,,,,,,  8 109,,,   22,   15,   95,   145,   718,,   106,   407,   18,,,  1 388,,,   434,   53,   106,,   11,   23,  1 151,  1 877,  12 338,,   64,,   465,,  2 747,,  43 544,   17,,  3 766,,   350,   798,  32 884,,  8 704,  2 347,  60 882,  33 253,  4 128,   646,,  4 279,,,,,   85,,,,   25,,,,  2 140,,   89,   377,,,,,,,,,,,,,   388,   87,   151,   47,  1 195,   95,   84,  2 175,   325,  2 886,   696,   663,   654,,,,,   557,,,   854,   117,  15 674,,,  39 130,  9 905,  1 505,,,,,,,,,,,,,,,   107,,,,,,
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,  3 550,  5 259,  15 014,  1 399,,   375,,,,,   113,,,,,,,   37,   30,,,,   125,,,,,,,,,,,,,,,,,,,,,  3 465,,,,   19,,,,,,,,,,,,,0,  3 225,,  1 777,   810,,  4 778,  10 963,  51 557,  11 021,  23 553,,   526,  305 838,  5 224,,  5 247,  13 462,  2 238,   40,   473,   108,   482,   785,,  2 087,  5 464,   37,  4 494,,   538,,,   49,   8,   22,,   5,,   194,  11 128,  2 761,,,,0,,  6 547,,   527,   101,,   10,,   14,   1,  1 927,,  1 828,   699,  13 644,  15 330,,,,  2 035,  1 309,,   142,,,,,,,,,   6,   76,,   117,,,   68,,,,   12,,,,,,,   9,,   52,,   510,,   83,  4 931,   23,  4 434,   358,  1 238,   22,,,,,,,,  13 833,,  10 560,,,  36 782,  5 351,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   47,   133,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 085,  6 041,,,  4 971,,,,,,,,,,,,,,,,,,,  40 537,,,,,,,,,,   340,,   2,  3 306,,  4 484,,,,,,,,,   64,,,  6 587,   5,   16,   16,   85,,,  424 727,,  34 861,,   6,   853,,0,   97,   4,,   47,  1 481,0,   51,   13,,,,,,   15,,   7,,,,,,,   1,,   157,   13,   30,   236,,,,   61,   26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   2,,,,,,,,,,,,   111,,,  1 693,   41,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,   5,,,,,,,,,,,,,,,,,   967,  2 762,,,,,,,   109,   151,,,,,,,,,,,,,,,,,,,,,,,,  5 839,  12 860,  1 923,   232,  6 726,,   43,  6 612,  14 149,  1 458,  2 277,  31 127,,   180,  1 438,,   119,  1 218,,  15 503,   28,,,   67,,,   3,,,   294,   65,,,,   73,  1 823,,,  1 377,,,,   35,  2 228,,,   3,   8,   631,   53,,,   75,   1,,,  1 958,,   5,   411,   83,   103,,   1,,  1 291,  8 135,  7 189,,,,,,   326,,   568,   42,,   18,,,   5,   271,,  3 088,  1 723,  12 071,  16 629,0,   168,,  2 502,  8 699,,,,,,,,   17,,,,,,,,,,,   35,,,,,,,,,   4,,,,   35,,   3,   133,   2,,   22,,,,,,,   14,,,   62,,  5 585,   4,,  106 919,  15 834,  2 671,,,,,,,,,,,,,,,,,,,,,
The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   147,,,,,,,,,   59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   12,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,   208,,,,,,,,  37 647,,,,  1 018,   131,  46 027,   291,,,   359,   54,,,  1 151,,,0,   7,   126,,,,0,  1 856,   347,   678,,  2 468,  12 962,,  4 152,,  72 688,   14,,   3,,  6 395,  6 720,   39,,  12 075,   545,  74 534,  35 938,   436,  1 957,,   5,  36 819,,,,,,,,,,,,   6,,,,,,,,,,,,,,,,   26,,,,,,,  13 164,0,,   226,,   29,,,,,,,,,,  7 038,,,  10 469,  40 724,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   729,,,,   7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,   1,,,,,,   330,,,,,,0,,   10,,,   654,,,,,,,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   38,,,,  9 518,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,   5,,   747,,,  7 105,,,,,,,,,,,,,,  17 244,  6 131,,  25 298,,  61 553,  1 468,,   250,   893,   104,  5 521,  46 886,,  1 380,   43,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,   2,,,,,,,,   32,,,   3,0,   22,,   1,,   53,   182,   76,,,,,,   11,,   87,,,   8,,,,   41,,   120,   989,  14 522,  1 693,,,,   305,   454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,   3,,,,,,,,,,,,   120,,,,   12,,,,,,,,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   53,  1 467,,,,,,,,,,,,,   30,,,,   131,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,   2,,,,,,,,,   4,,,0,0,0,,,,,   15,   19,,,,,,,,   5,,,,,,,,,   4,,   164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   1,,,,,,,,,,,,   96,,,  10 668,  6 163,  12 834,  1 221,,   40,,   24,,,,   7,,,,  1 304,,,   48,   47,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,,,,,,,,,,,,,,,0,0,,,,,,,,   100,,,   7,   1,   22,,0,,   221,   183,  17 191,,,,,,   9,,   21,   9,,,,,,   13,,   38,,   269,   354,,,,   225,   191,,   356,,   278,  1 750,   23,   206,   113,,,   111,   100,  1 647,,,  1 775,,   66,   337,   115,   325,   837,0,,,  2 475,,   26,,,,   32,,   64,   75,   4,,   6,   52,   15,,,   189,,,,,  3 611,   34,  47 386,,,  115 710,   920,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,   69,,,   495,  1 414,  1 763,,,,,,,   111,,,,,,,,,,,,   221,,,,,,,,,,,,,,,,,,,,,,,,,   17,,,,,,,,,,,,,,,,   155,   9,,   241,  40 293,   221,   961,,,   277,,   850,,   132,  1 175,,,   18,   39,   34,   187,,   2,   607,   6,,,   410,,   9,   163,   6,   19,,0,,   375,  2 143,  2 367,,,,,,   529,,  70 813,   161,,   15,,   4,   2,   574,,  2 033,  6 112,  276 216,  27 234,0,   114,,  2 632,  5 067,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,   99,0,,   27,,,,,,,,,,   13,,  2 438,,,  4 101,   411,,,   546,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,   6,,,,,,,,   770,  2 197,,,,,,,   52,   792,,,,,,,,,,,,,,,,,,,  19 692,   833,  1 175,,,,,,,,   109,,,,,,,,   202,,0,,,,,,   343,   277,,,,0,  1 956,  2 894,  1 291,   152,   455,   938,  31 449,   957,  8 007,   437,,  2 308,,,,,  9 781,,   11,   743,   55,   385,   641,   87,   878,  13 032,   10,  1 637,,  19 476,,,   457,   18,   94,,   12,   40,  4 977,  25 061,  25 947,  2 489,,,0,,  34 502,,  7 575,   79,,   31,,   47,   5,   454,  11 417,  88 108,  80 005,  241 148, 1 586 121,   820,   194,,  140 494,  51 936,,,   115,,,,,,,,,   73,,,,,,,   42,,,,,,,,,   6,,   16,,   290,,   33,  2 498,   2,  1 031,   178,   73,,,,,,   37,,,   115,   26,  11 692,,,  55 087,  33 246,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,   58,,,,,,,,,,,,,,,,,,,,,,,,,,,   338,  2 941,  1 084,,   330,,,,,,,,,,,,,,,,,,,,,,,   216,,,,,   820,  2 352,,   3,  1 609,,   507,,,,,,,,,   492,,,  6 339,   7,   12,,   62,,,  165 923,,  31 201,,   4,   996,,0,0,   1,,   23,  3 341,0,   44,   12,,,,,,  40 196,,   7,,,,,   3,,   1,,   77,   5,   217,   28,,,,,   18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   3,,,,,,,,,,,,   106,,,   569,   25,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,0,,,,,,   17,,,,,,,,,,,,,,,,,,,   7,,,,,,,,   4,,  2 080,,,,,,,,   3,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,   158,   38,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,   1,,,,,   29,,,,,,,0,,,,,,,,,,,,,,   20,,0,,,,,,,   12,,   7,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   8,,,,,,,,,,,,,,,   10,,,,   71,  1 026,   378,,,,,,   377,,,   316,,,,,,   40,   39,   21,,,
Uganda,  1 833,,,   175,   103,  83 355,,,,,,,  34 106,   5,,0,,  19 706,   349,,,,,,,  18 418,,,,,   91,,,  74 433,,,   295,   185,   712,  4 621,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,  2 058,,,,,,,,,   5,,,,,,,,,,,,,,,,   1,   4,   6,   61,,,   100,,,,   269,,,   10,   3,   29,,   1,,   242,  1 880,  49 648,,,,,,   107,,   53,,,   17,,,,   11,,   150,   96,   421,  1 013,,,,   321,   367,,,,0,,,,,,,,,,,,,,,,,,,,,,,,   8,,,,,,,   1,   2,,   11,,,,,,,,,,,,  8 598,,,  6 684,   925,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   67,   189,,,,,,,   380,  1 822,,,,   28,,,,   84,,,,,,,,,,,  356 063,  85 115,  3 990,  12 576,  180 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 066,  3 842,,   815,  46 581,,  168 081,   45,,   21,,,,,,  1 011,,,  261 845,  1 671,  8 198,  3 040,  438 692,  245 741,  15 695, 3 301 922,  2 619,,,   605,  43 063,,0,   11,   170,,  46 572,  43 228,   6,  1 146,  3 233,,,,0,,   189,,   206,   30,,  3 196,   4,   156,   89,   408,   65,  4 534,  2 298,  7 869,  16 108,   3,   169,,   46,  1 593,,,,0,,,,,  1 367,,,   121,,,,,,,,,,,,,,,,   135,,,,   250,   80,   66,  3 583,0,,   35,   208,   134,,,,,   171,,,   187,,  50 845,,,  154 211,  12 428,   247,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   464,  1 322,,,,,,,,   175,,,,,,,,,,,,   62,,,,,,,,,,,,,,,,,,,,,,,,,   99,,,,,,,,  9 940,,,,,   19,,,   771,   38,,   222,,   156,  4 778,,  2 702,  39 178,,  10 629,,  3 344,,,   15,   1,   8,0,   118,,,   283,   4,,,   56,,,   14,0,   39,,   1,   17,   27,   275,   754,,,,,,   17,,   2,   6,,,,   2,,   14,,   97,,   266,,,,,   20,   124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   8,   38,,,,,,,,,,,  1 218,,,  1 656,   561,,,,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,,,,   34,,,,   769,   694,,,,,   274,,,  1 071,   682,  1 987,  19 136,,,,,,,,,,  2 060,  3 051,  8 712,   828,,,,  3 289,,  2 540,  117 362,,,,   14,,,   972,,,  1 146,,,,,   274,,   611,,,,   477,,,  4 737,  11 838,,   188,  10 209,   65,   559,  1 996,   43,  20 883,,  3 433,,  6 028,,   21,,   256,,  9 090,   17,  5 063,,   94,,,   48,,,  1 614,  9 055,,,  14 958,   465,  10 010,   212,  4 260,  2 886,,,,  6 483,  12 229,,   340,   59,   351,   521,  3 732,,   273,   899,   34,,  54 519,  9 126,   31,   139,  1 738,   647,  184 671,  30 510,   117,   281,  14 586,  11 473,,,  1 043,,   182,  3 025,  34 223,,  59 492,  5 333,,  6 866,,   79,   75,  61 463,,  6 067,  21 480,  102 335,  103 961,   27,  2 355,,  36 211,  22 512,   197,   623,,  1 964,  2 988,   50,   440,  1 049,   110,,   230,   581,,   166,,  5 469,   67,   156,   336,,   405,   682,0,  2 157,   246,,   306,   451,   135,   125,   78,  2 273,   46,   319,  2 391,   580,  3 849,  1 428,   991,   719,   664,,   131,   140,  1 185,,   535,  1 881,  4 590,  688 691,   32,,  640 145, 1 111 203,  227 889,   759,,  2 192,   85,   239,,   23,,,,,,,   49,   76,,   47,,,,
United Republic of Tanzania,  11 912,   163,,   218,,  66 464,,  3 279,,,  2 935,,  15 825,,,,  32 638,,  6 930,,,,,,,,,,,,   156,   445,,,,,   460,   116,  1 624,   26,,,,,,,   6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   36,,,,,,,,,,,,   53,,,,   7,   5,   28,   71,,,   269,,,,   439,,,   86,   9,   24,,0,,   248,   664,  29 112,,,,,,   268,,   135,,,   48,,,,   28,,   86,   106,   629,   816,,,,   546,   522,,,,,,,,   5,,,,,,,,,,,,,,,,,,,,   3,,,,,,,   1,   1,,   27,,,,,,,,,,,,  19 061,,,  6 282,  1 422,,,,   38,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,   37,,,,,,,,   503,   808,   459,,,,   476,,   51,,,   169,,  4 509,  6 679,  19 067,  1 250,,   236,,   603,   95,  1 553,  9 267,   281,,,   188,,,   437,   552,   200,  2 959,   233,   99,,,,   662,   506,   179,,,   417,,,  16 962,  7 599,,   672,  38 375,   247,  11 713,   113,   91,  8 745,,,,  17 746,  3 423,  1 640,   64,   263,,  28 559,   63,  5 649,,   24,,,   18,,,   453,   791,,,  47 532,  1 691,  2 808,   773,,   809,,  8 436,,  12 868,  3 431,,   42,   139,   517,  2 956,  12 778,,   705,  3 077,   290,  3 308,,  6 411,   91,   21,  2 545,  1 077,  15 922,   242,   167,  1 170,  15 827,  11 325,  141 818,  3 011,   100,,  1 187,,  43 336,,  63 755,   832,,  5 467,,   157,   734,  12 187,,  6 088,  11 241,  40 260,  99 835,   20,  1 098,,  13 659,  19 316,   215,  1 308,   425,  4 247,  1 112,   346,   674,  1 632,  1 186,,   226,  9 115,,   197,  1 607,  4 575,,   173,  227 483,,   276,   291,0,  2 430,   454,  14 246,  1 901,  8 586,  8 033,  5 822,  2 692,  198 230,  3 721,  3 318,  9 992,  3 078,  11 806,  5 650,  13 478,  8 595,   15,,   285,  1 582,  7 050,,  1 525,  11 639,  3 468,  238 998,   30,   72,,  53 575,  8 305,,,  1 110,   135,,  27 990,   43,   633,   234,,  1 203,   315,  3 510,   17,   372,   11,   266,,,   41,
United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   20,,,,,,,,,,,,,,,,,   37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,,,,   14,,,,,,,,,,,,,   1,,,,,,,   192,   295,,,,   52,,,,,,   472,   7,,,,,,   936,   265,   9,,0,,,,,   6,,,,,,,,,,   1,,,,,,,,,,,,   34,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,  4 315,,,,,,,,,   10,,,   21,   2,   9,   60,   14,,,   479,,,,   164,,,   34,   3,   11,,   3,   22,   145,  1 749,   134,,   78,,,,   56,,   678,,,   39,,,,  10 922,,   155,   61,  2 065,   830,,,,   284,   950,,,,   2,,,,,,,,  1 625,,,   286,,,,,,,,,,,,,   252,   120,   95,   51,  1 113,   11,   147,  136 906,   402,  23 363,  1 393,   360,   320,,,,  3 293,   437,,,  6 076,,  5 033,,,  20 766,  11 795,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   85,   243,,,,,,,,,,,,,,,,,,,,,,,,,,,  131 905,  18 416,  18 848,  112 171,,,,,,,,   30,,,,,,,,,,,,  2 027,,,,,,,,,  1 150,  23 232,,   18,  10 078,,  31 121,,,,,,,,,  1 992,,,  17 154,   24,   44,   102,   498,  4 025,,  890 893,   8,  131 997,,   37,  2 614,,0,   2,   18,,   309,  4 197,   3,   121,   73,,,,,,  1 284,,   191,   7,,   5,,   9,   2,   27,,   415,   45,   303,  2 864,,,,  4 895,   96,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,0,,   40,,,,,,,,,,,,  1 459,,,  14 633,   245,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,   1,,,,,,,,,   4,,,0,,0,,,,,,   16,,,,,,   3,,   1,,,,,,,,,   4,,   127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   18,   2,,   1,   190,,,,,,,,,,,   14,,,,   861,,   170,  3 153,   152,   9,,,,,,,,,,,   187,,   9,,,,   152
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   26,,,,,,,,,   296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   16,,,   640,   45,,,,,,,,   9,,,,   1,   11,   169,   67,,   3,   371,,,,   188,,,   34,   6,   24,,   6,,   80,   352,   555,,,,0,,   585,,  9 773,,,  14 959,,   4,   5,  32 469,,   504,   204,  3 253,  1 662,,   25,,  1 474,  1 787,,   11,  1 144,   16,,   454,,   11,   431,,   11,  14 235,   43,,  2 510,,,,  1 264,,   27,,0,  1 337,,,,  1 030,   258,   113,   75,  1 460,   146,   487,  1 981,   369,  1 220,  2 349,  33 123,  2 549,,,   478,,  2 316,,   773,,,  3 339,,,  42 119,   606,,,,,,,,,,,,,,,,,,,,,,
